control_id,title,owner,evidence_path,status,notes,phase
AC-1,Policy and Procedures,Compliance,compliance/policies/access-control.md,pending,,v2.1
AC-2,Account Management,Platform IAM,services/iam/,pending,TASK-P1-IAM-001..009.,v2.1
AC-2(1),Automated System Account Management,Platform IAM,services/iam/,pending,,v2.1
AC-2(2),Automated Temporary And Emergency Account Management,Platform IAM,services/iam/internal/session/manager.go,pending,,v2.1
AC-2(3),Disable Accounts,Platform IAM,services/iam/,pending,,v2.1
AC-2(4),Automated Audit Actions,Security,services/audit/,pending,,v2.1
AC-2(5),Inactivity Logout,Platform IAM,services/iam/internal/session/manager.go,pending,Idle timeout in TASK-P1-IAM-007.,v2.1
AC-2(7),Privileged User Accounts,Platform IAM,services/packages/authz/decision.go,pending,Deny-wins ABAC in TASK-P1-AUTHZ-001.,v2.1
AC-2(9),Restrictions On Use Of Shared And Group Accounts,Platform IAM,services/iam/,pending,,v2.1
AC-2(12),Account Monitoring For Atypical Usage,Security,services/audit/,pending,,v2.1
AC-2(13),Disable Accounts For High-Risk Individuals,Platform IAM,services/iam/,pending,,v2.1
AC-3,Access Enforcement,Platform IAM,services/packages/authz/decision.go,pending,TASK-P1-AUTHZ-001.,v2.1
AC-4,Information Flow Enforcement,Platform Infra,infra/helm/charts/_chetana-service/templates/_networkpolicy.tpl,implemented,NetworkPolicy default-deny in TASK-P0-INFRA-001.,v2.1
AC-4(21),Physical Or Logical Separation Of Information Flows,Platform Architecture,infra/helm/charts/chetana-platform/templates/namespace.yaml,implemented,Namespace + repo split in TASK-P0-REPO-001.,v2.1
AC-5,Separation Of Duties,Compliance,compliance/policies/segregation.md,pending,Two-person command approval in TASK-P2-CMD-001.,v2.1
AC-6,Least Privilege,Platform IAM,services/packages/authz/decision.go,pending,,v2.1
AC-6(1),Authorize Access To Security Functions,Platform IAM,services/iam/,pending,,v2.1
AC-6(2),Non-Privileged Access For Nonsecurity Functions,Platform IAM,services/iam/,pending,,v2.1
AC-6(5),Privileged Accounts,Platform IAM,services/iam/,pending,,v2.1
AC-6(7),Review Of User Privileges,Compliance,compliance/internal-audits/,pending,,v2.1
AC-6(9),Log Use Of Privileged Functions,Security,services/audit/,pending,,v2.1
AC-6(10),Prohibit Non-Privileged Users From Executing Privileged Functions,Platform IAM,services/packages/authz/decision.go,pending,,v2.1
AC-7,Unsuccessful Logon Attempts,Platform IAM,services/iam/internal/login/ratelimit.go,pending,TASK-P1-IAM-001 progressive lockout.,v2.1
AC-8,System Use Notification,Compliance,compliance/policies/aup.md,pending,,v2.1
AC-11,Device Lock,Compliance,compliance/policies/byod.md,pending,,v2.1
AC-12,Session Termination,Platform IAM,services/iam/internal/session/manager.go,pending,,v2.1
AC-14,Permitted Actions Without Identification Or Authentication,Platform IAM,services/iam/,pending,,v2.1
AC-17,Remote Access,Compliance,compliance/policies/remote-work.md,pending,,v2.1
AC-17(1),Monitoring And Control,Security,services/audit/,pending,,v2.1
AC-17(2),Protection Of Confidentiality And Integrity Using Encryption,Security,services/packages/crypto/fips.go,implemented,FIPS-validated TLS 1.3 in TASK-P0-OBS-001.,P0
AC-18,Wireless Access,Compliance,compliance/policies/wireless.md,pending,,v2.1
AC-19,Access Control For Mobile Devices,Compliance,compliance/policies/byod.md,pending,,v2.1
AC-20,Use Of External Systems,Compliance,compliance/policies/external-systems.md,pending,,v2.1
AC-21,Information Sharing,Compliance,compliance/policies/information-sharing.md,pending,,v2.1
AC-22,Publicly Accessible Content,Platform Architecture,web/apps/shell/src/routes/(public)/,pending,Public route group in TASK-P5-WEB-001.,P5
AT-1,Policy and Procedures,Compliance,compliance/policies/awareness-training.md,pending,,v2.1
